ticker_symbol,month,counts
AAPL,2015-01,34308
AAPL,2015-02,34386
AAPL,2015-03,39951
AAPL,2015-04,37615
AAPL,2015-05,26054
AAPL,2015-06,26464
AAPL,2015-07,31070
AAPL,2015-08,33332
AAPL,2015-09,29267
AAPL,2015-10,28405
AAPL,2015-11,18754
AAPL,2015-12,20571
AAPL,2016-01,31611
AAPL,2016-02,31891
AAPL,2016-03,40502
AAPL,2016-04,36649
AAPL,2016-05,36692
AAPL,2016-06,29854
AAPL,2016-07,26848
AAPL,2016-08,38061
AAPL,2016-09,52579
AAPL,2016-10,32325
AAPL,2016-11,24187
AAPL,2016-12,24446
AAPL,2017-01,26570
AAPL,2017-02,25895
AAPL,2017-03,16452
AAPL,2017-04,11938
AAPL,2017-05,18023
AAPL,2017-06,16513
AAPL,2017-07,14257
AAPL,2017-08,21942
AAPL,2017-09,19527
AAPL,2017-10,13440
AAPL,2017-11,18360
AAPL,2017-12,16126
AAPL,2018-01,22039
AAPL,2018-02,19955
AAPL,2018-03,17234
AAPL,2018-04,15442
AAPL,2018-05,19374
AAPL,2018-06,14123
AAPL,2018-07,12129
AAPL,2018-08,20797
AAPL,2018-09,19231
AAPL,2018-10,17460
AAPL,2018-11,25776
AAPL,2018-12,19576
AAPL,2019-01,30002
AAPL,2019-02,17413
AAPL,2019-03,22101
AAPL,2019-04,19878
AAPL,2019-05,23755
AAPL,2019-06,12997
AAPL,2019-07,13589
AAPL,2019-08,16427
AAPL,2019-09,16679
AAPL,2019-10,18264
AAPL,2019-11,12553
AAPL,2019-12,13354
AMZN,2015-01,8686
AMZN,2015-02,5446
AMZN,2015-03,6105
AMZN,2015-04,9645
AMZN,2015-05,8504
AMZN,2015-06,10675
AMZN,2015-07,15109
AMZN,2015-08,9551
AMZN,2015-09,8330
AMZN,2015-10,12245
AMZN,2015-11,9584
AMZN,2015-12,9814
AMZN,2016-01,13102
AMZN,2016-02,10415
AMZN,2016-03,11060
AMZN,2016-04,11831
AMZN,2016-05,12650
AMZN,2016-06,8971
AMZN,2016-07,12541
AMZN,2016-08,9810
AMZN,2016-09,10840
AMZN,2016-10,14389
AMZN,2016-11,12971
AMZN,2016-12,12632
AMZN,2017-01,13612
AMZN,2017-02,12497
AMZN,2017-03,10267
AMZN,2017-04,12431
AMZN,2017-05,10988
AMZN,2017-06,18769
AMZN,2017-07,16089
AMZN,2017-08,13027
AMZN,2017-09,13463
AMZN,2017-10,14203
AMZN,2017-11,12002
AMZN,2017-12,9281
AMZN,2018-01,13024
AMZN,2018-02,12815
AMZN,2018-03,14800
AMZN,2018-04,16326
AMZN,2018-05,11491
AMZN,2018-06,11871
AMZN,2018-07,15173
AMZN,2018-08,11404
AMZN,2018-09,12691
AMZN,2018-10,17948
AMZN,2018-11,14467
AMZN,2018-12,11731
AMZN,2019-01,14485
AMZN,2019-02,13019
AMZN,2019-03,14119
AMZN,2019-04,12573
AMZN,2019-05,13996
AMZN,2019-06,9055
AMZN,2019-07,11893
AMZN,2019-08,11843
AMZN,2019-09,10191
AMZN,2019-10,11412
AMZN,2019-11,8822
AMZN,2019-12,12031
GOOG,2015-01,9834
GOOG,2015-02,8192
GOOG,2015-03,9945
GOOG,2015-04,11082
GOOG,2015-05,11619
GOOG,2015-06,11460
GOOG,2015-07,13427
GOOG,2015-08,10995
GOOG,2015-09,8157
GOOG,2015-10,8740
GOOG,2015-11,6177
GOOG,2015-12,5893
GOOG,2016-01,5802
GOOG,2016-02,10085
GOOG,2016-03,10635
GOOG,2016-04,10614
GOOG,2016-05,13767
GOOG,2016-06,9044
GOOG,2016-07,9060
GOOG,2016-08,12108
GOOG,2016-09,13658
GOOG,2016-10,15508
GOOG,2016-11,11691
GOOG,2016-12,9499
GOOG,2017-01,10298
GOOG,2017-02,5992
